"id","name","region","group_title","tvg_id","last_status","last_error"
"joomusic_720p_pk","JooMusic (720p)","PK","Music","JooMusic.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"joshua_tv_720p_pk","Joshua TV (720p)","PK","Religious","JoshuaTV.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"king_tv_720p_not_24_7_pk","King TV (720p) [Not 24/7]","PK","Religious","KingTV.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"minimax_360p_pk","Minimax (360p)","PK","Kids","Minimax.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"news_one_720p_pk","News One (720p)","PK","News","NewsOne.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"pmi_tv_720p_not_24_7_pk","PMI TV (720p) [Not 24/7]","PK","Undefined","PMITV.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"praise_tv_720p_pk","Praise TV (720p)","PK","Undefined","PraiseTV.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"sab_tv_1080p_pk","SAB TV (1080p)","PK","Entertainment","SABTV.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"zindagi_tv_576p_not_24_7_pk","Zindagi TV (576p) [Not 24/7]","PK","Undefined","ZindagiTV.pk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"manoto_tv_uk","Manoto TV","UK","Entertainment","Manoto.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"zee_one_fran_ais_720p_uk","Zee One Français (720p)","UK","Entertainment","ZeeOne.uk@French","206","Removed as UK/PK non-popular or duplicate channel"
"zee_one_german_720p_uk","Zee One German (720p)","UK","Entertainment","ZeeOne.uk@German","206","Removed as UK/PK non-popular or duplicate channel"
"qvc_uk_uk","QVC UK Ⓢ","UK","UK","QVCUK.uk","200","Removed as UK/PK non-popular or duplicate channel"
"arirang_world_uk","Arirang World","UK","UK","ArirangWorld.kr","206","Removed as UK/PK non-popular or duplicate channel"
"bbc_world_service_uk","BBC World Service","UK","UK","BBCRadioWorldService.uk","206","Removed as UK/PK non-popular or duplicate channel"
"cnbc_europe_uk","CNBC Europe","UK","Business","CNBCEurope.uk","200","Removed as UK/PK non-popular or duplicate channel"
"adventure_earth_gb_uk","Adventure Earth (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"air_and_space_gb_uk","Air and Space (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"artflix_gb_uk","Artflix (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"autentic_history_gb_uk","Autentic History (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"autentic_travel_gb_uk","Autentic Travel (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"baby_shark_tv_gb_uk","Baby Shark TV (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"bigtjme_gb_uk","Bigtjme (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"brat_tv_gb_uk","Brat TV (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"british_screen_classics_gb_geo_uk","British Screen Classics (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"cnbc_uk_geo_uk","CNBC (UK) Geo","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"cnn_fast_gb_geo_uk","CNN Fast (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"cnn_fast_gb_geo_uk_2","CNN FAST (GB) Geo","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"cops_gb_uk","Cops (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"deal_masters_gb_geo_uk","Deal Masters (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"dog_the_bounty_hunter_gb_geo_uk","Dog the Bounty Hunter (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"duck_dynasty_gb_geo_uk","Duck Dynasty (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"evolution_earth_gb_geo_uk","Evolution Earth (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"fear_factor_uk_geo_uk","Fear Factor (UK) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"filmzie_gb_uk","Filmzie (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"fuel_tv_gb_uk","Fuel TV (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"gbn_gb_wrong_c_uk","GBN (GB) wrong c","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"ghost_hunters_channel_gb_geo_uk","Ghost Hunters Channel (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"go_usa_gb_uk","Go USA (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"great_movies_gb_geo_uk","Great Movies! (GB) Geo","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"great_romance_gb_geo_uk","Great Romance! (GB) Geo","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"grjngo_gb_uk","Grjngo (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"haunt_tv_uk_uk","Haunt TV (UK)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"hells_kitchen_gb_geo_uk","Hells Kitchen (GB) Geo","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"history_hunters_gb_geo_uk","History Hunters (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"hnc_free_uk_uk","HNC Free (UK)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"hnc_free_uk_geo_uk","HNC Free (UK) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"homeful_gb_uk","Homeful (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"homes_under_the_hammer_gb_uk","Homes under the Hammer (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"icon_film_classics_gb_uk","Icon Film Classics (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"infast_gb_uk","Infast (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"intervention_gb_geo_uk","Intervention (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"lifetime_movies_gb_geo_uk","Lifetime Movies (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"life_downunder_gb_uk","Life Downunder (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"little_women_l_a_gb_geo_uk","Little Women L.A (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"love_pets_gb_uk","Love Pets (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"love_wine_gb_uk","Love Wine (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"master_chef_uk_ca_uk","Master Chef UK (CA)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"mech_plus_gb_uk","Mech Plus (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"moconomy_gb_uk","Moconomy (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"mr_bean_gb_uk","Mr Bean (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"mr_bean_animated_gb_uk","Mr Bean Animated (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"mtrspt_1_alt_gb_uk","Mtrspt 1 alt (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"now_70s_gb_geo_uk","Now 70s (GB) Geo","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"now_80_s_gb_geo_uk","Now 80's (GB) Geo","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"pbs_history_gb_geo_uk","PBS History (GB) Geo","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"pbs_science_gb_geo_uk","PBS Science (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"pop_flix_gb_uk","Pop Flix (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"real_crime_gb_uk","Real Crime (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"real_wild_gb_uk","Real Wild (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"so_real_gb_uk","So...Real (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"sparkle_movies_gb_uk","Sparkle Movies (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"strong_mans_champion_league_gb_uk","Strong Mans Champion League (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"timber_kings_gb_geo_uk","Timber Kings (GB) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"the_biggest_loser_gb_uk","The Biggest Loser (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"timeline_gb_uk","Timeline (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"trace_sport_stars_uk_geo_uk","Trace Sport Stars (UK) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"trace_urban_uk_geo_uk","Trace Urban (UK) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"trace_urban_alt_uk_geo_uk","Trace Urban alt (UK) Geo","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"unbeaten_gb_uk","Unbeaten (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"watchmojo_gb_uk","Watchmojo (GB)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"waterbear_network_gb_uk","Waterbear Network (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"wedo_big_docs_gb_uk","Wedo Big Docs (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"wipeout_xtra_gb_uk","Wipeout Xtra (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"wonder_gb_uk","Wonder (GB)","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"world_poker_tour_gb_geo_uk","World Poker Tour (GB) Geo","UK","General","","200","Removed as UK/PK non-popular or duplicate channel"
"xite_hits_uk_uk","Xite Hits (UK)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
"xite_hits_alt_uk_uk","Xite Hits alt (UK)","UK","General","","206","Removed as UK/PK non-popular or duplicate channel"
