"id","popular_match","name","region","group_title","tvg_id","stream_url","last_status","score"
"cbs_news_los_angeles_us","CBS News","CBS News Los Angeles","US","XUMO🇺🇸: Local News","XUMO_99991642","https://dai.google.com/linear/hls/event/K_2aA7OVRTacJJli1oSi8w/master.m3u8?imafw_csid=[CBSN_CSID];imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]","200","13"
"cbs_news_los_angeles_720p_us","CBS News","CBS News Los Angeles (720p)","US","News","CBSNewsLosAngeles.us@SD","https://cbsn-la.cbsnstream.cbsnews.com/out/v1/57b6c4534a164accb6b1872b501e0028/master.m3u8","200","-9"
"cbs_news_miami_720p_us","CBS News","CBS News Miami (720p)","US","News","CBSNewsMiami.us@SD","https://cbsn-mia.cbsnstream.cbsnews.com/out/v1/ac174b7938264d24ae27e56f6584bca0/master.m3u8","206","7"
"cbs_news_minnesota_720p_us","CBS News","CBS News Minnesota (720p)","US","News","CBSNewsMinnesota.us@SD","https://cbsn-min.cbsnstream.cbsnews.com/out/v1/76518f06941246ba810c8d175600bf74/master.m3u8","200","-7"
"cbs_news_new_york_us","CBS News","CBS News New York","US","XUMO🇺🇸: Local News","XUMO_99991641","https://dai.google.com/linear/hls/event/jeTDC610T-OSPdiWhcl0Pg/master.m3u8?imafw_csid=[CBSN_CSID];imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]","200","16"
"cbs_news_new_york_720p_us","CBS News","CBS News New York (720p)","US","News","CBSNewsNewYork.us@SD","https://cbsn-ny.cbsnstream.cbsnews.com/out/v1/ec3897d58a9b45129a77d67aa247d136/master.m3u8","206","4"
"cbs_news_philadelphia_720p_us","CBS News","CBS News Philadelphia (720p)","US","News","CBSNewsPhilly.us@SD","https://cbsn-phi.cbsnstream.cbsnews.com/out/v1/5c9ad3e215984b0e9ad845b335216b72/master.m3u8","200","-10"
"cbs_news_pittsburgh_720p_us","CBS News","CBS News Pittsburgh (720p)","US","News","CBSNewsPittsburgh.us@SD","https://cbsn-pit.cbsnstream.cbsnews.com/out/v1/6966dabf8150405ab26f854e3cd6a2b8/master.m3u8","200","-8"
"cbs_news_sacramento_720p_us","CBS News","CBS News Sacramento (720p)","US","News","CBSNewsSacramento.us@SD","https://lineup.cbsivideo.com/playout/c1ed69db-6b71-4581-a937-a70ab4089f8a/index.m3u8","206","2"
"cheddar_news_1080p_us","Cheddar","Cheddar News (1080p)","US","News","CheddarNews.us@SD","https://wurlcheddar.global.transmit.live/hls/689ceac9301c34d3919676f3/v1/Cheddar/samsung_us/latest/main/hls/playlist.m3u8","200","-2"
"cnbc_es_geo_us","CNBC","CNBC (ES) Geo","US","General","","https://amg01079-nbcuuk-amg01079c1-lg-es-2034.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-lges/playlist.m3u8","200","5"
"cnbc_fr_geo_us","CNBC","CNBC (FR) Geo","US","General","","https://amg01079-nbcuuk-amg01079c1-lg-fr-2032.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-lgfr/playlist.m3u8","200","5"
"cnbc_it_geo_us","CNBC","CNBC (IT) Geo","US","General","","https://amg01079-nbcuuk-amg01079c1-lg-it-2033.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-lgit/playlist.m3u8","200","5"
"cnbc_pt_geo_us","CNBC","CNBC (PT) Geo","US","General","","https://amg01079-nbcuuk-amg01079c1-lg-pt-2035.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-lgpt/playlist.m3u8","200","5"
"cnbc_awaaz_in_geo_us","CNBC","CNBC Awaaz (IN) Geo","US","General","","https://amg00866-amg00866c2-lg-in-3525.playouts.now.amagi.tv/playlist.m3u8","206","9"
"cnbc_tv_18_in_geo_us","CNBC","CNBC TV 18 (IN) Geo","US","General","","https://amg00866-amg00866c9-lg-in-4409.playouts.now.amagi.tv/playlist.m3u8","206","9"
"court_tv_us","Court TV","Court TV","US","News","CourtTV.us@SD","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-courttv-tablo/playlist.m3u8","200","1025"
"court_tv_legendary_trials_us","Court TV","Court TV Legendary Trials","US","News","XUMO_99951233","https://dbrb49pjoymg4.cloudfront.net/10001/99951233/hls/playlist.m3u8?ads.xumo_channelId=99951233&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads.asnw=&ads.caid=ScrippsCourtTVLegendaryTrials&ads.csid=xumo_[PLATFORM]_ScrippsCourtTVLegendaryTrials_ssai&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads.genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_rating=[content_rating]&ads.xumo_contentId=3924&ads.xumo_contentName=ScrippsCourtTVLegendaryTrials&ads.xumo_providerId=3924&ads.xumo_providerName=ScrippsCourtTVLegendaryTrials&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.channelId=99951233&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appName=xumo&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]","200","8"
