"id","region","name","group_title","tvg_id","last_status","stream_url"
"cbs_news_baltimore_720p_us","US","CBS News Baltimore (720p)","News","CBSNewsBaltimore.us@SD","206","https://lineup.cbsivideo.com/playout/8877a7d5-b094-4ac8-bc72-75a5fed68e5b/index.m3u8"
"cbs_news_bay_area_us","US","CBS News Bay Area","XUMO🇺🇸: Local News","XUMO_99991655","200","https://dai.google.com/linear/hls/event/laLJwH1nS2KQAUQTF8z1Cg/master.m3u8?imafw_csid=[CBSN_CSID];imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]"
"cbs_news_bay_area_720p_us","US","CBS News Bay Area (720p)","News","CBSNewsBayArea.us@SD","200","https://cbsn-sf.cbsnstream.cbsnews.com/out/v1/dac63c1abb3f4a2dac9f508f44bb072a/master.m3u8"
"cbs_news_boston_us","US","CBS News Boston","XUMO🇺🇸: Local News","XUMO_99991656","200","https://dai.google.com/linear/hls/event/dHA193vxQ_WqZNVoC-W5MA/master.m3u8?imafw_csid=[CBSN_CSID];imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]"
"cbs_news_boston_720p_us","US","CBS News Boston (720p)","News","CBSNewsBoston.us@SD","200","https://cbsn-bos.cbsnstream.cbsnews.com/out/v1/589d66ec6eb8434c96c28de0370d1326/master.m3u8"
"cbs_news_chicago_720p_us","US","CBS News Chicago (720p)","News","CBSNewsChicago.us@SD","200","https://cbsn-chi.cbsnstream.cbsnews.com/out/v1/b2fc0d5715d54908adf07f97d2616646/master.m3u8"
"cbs_news_colorado_720p_us","US","CBS News Colorado (720p)","News","CBSNewsColorado.us@SD","200","https://cbsn-den.cbsnstream.cbsnews.com/out/v1/2e49baf2906244ecb01b07d9885fbe7a/master.m3u8"
"cbs_news_detroit_720p_us","US","CBS News Detroit (720p)","News","CBSNewsDetroit.us@SD","200","https://cbsn-det.cbsnstream.cbsnews.com/out/v1/169f5c001bc74fa7a179b19c20fea069/master.m3u8"
"cbs_news_los_angeles_us","US","CBS News Los Angeles","XUMO🇺🇸: Local News","XUMO_99991642","200","https://dai.google.com/linear/hls/event/K_2aA7OVRTacJJli1oSi8w/master.m3u8?imafw_csid=[CBSN_CSID];imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]"
"cbs_news_los_angeles_720p_us","US","CBS News Los Angeles (720p)","News","CBSNewsLosAngeles.us@SD","200","https://cbsn-la.cbsnstream.cbsnews.com/out/v1/57b6c4534a164accb6b1872b501e0028/master.m3u8"
"cbs_news_miami_720p_us","US","CBS News Miami (720p)","News","CBSNewsMiami.us@SD","206","https://cbsn-mia.cbsnstream.cbsnews.com/out/v1/ac174b7938264d24ae27e56f6584bca0/master.m3u8"
"cbs_news_minnesota_720p_us","US","CBS News Minnesota (720p)","News","CBSNewsMinnesota.us@SD","200","https://cbsn-min.cbsnstream.cbsnews.com/out/v1/76518f06941246ba810c8d175600bf74/master.m3u8"
"cbs_news_new_york_us","US","CBS News New York","XUMO🇺🇸: Local News","XUMO_99991641","200","https://dai.google.com/linear/hls/event/jeTDC610T-OSPdiWhcl0Pg/master.m3u8?imafw_csid=[CBSN_CSID];imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]"
"cbs_news_new_york_720p_us","US","CBS News New York (720p)","News","CBSNewsNewYork.us@SD","206","https://cbsn-ny.cbsnstream.cbsnews.com/out/v1/ec3897d58a9b45129a77d67aa247d136/master.m3u8"
"cbs_news_philadelphia_720p_us","US","CBS News Philadelphia (720p)","News","CBSNewsPhilly.us@SD","200","https://cbsn-phi.cbsnstream.cbsnews.com/out/v1/5c9ad3e215984b0e9ad845b335216b72/master.m3u8"
"cbs_news_pittsburgh_720p_us","US","CBS News Pittsburgh (720p)","News","CBSNewsPittsburgh.us@SD","200","https://cbsn-pit.cbsnstream.cbsnews.com/out/v1/6966dabf8150405ab26f854e3cd6a2b8/master.m3u8"
"cbs_news_sacramento_720p_us","US","CBS News Sacramento (720p)","News","CBSNewsSacramento.us@SD","206","https://lineup.cbsivideo.com/playout/c1ed69db-6b71-4581-a937-a70ab4089f8a/index.m3u8"
"cheddar_news_1080p_us","US","Cheddar News (1080p)","News","CheddarNews.us@SD","200","https://wurlcheddar.global.transmit.live/hls/689ceac9301c34d3919676f3/v1/Cheddar/samsung_us/latest/main/hls/playlist.m3u8"
"cnbc_de_geo_us","US","CNBC (DE) Geo","General","","200","https://amg01079-nbcuuk-amg01079c1-lg-de-2031.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-lgde/playlist.m3u8"
"cnbc_es_geo_us","US","CNBC (ES) Geo","General","","200","https://amg01079-nbcuuk-amg01079c1-lg-es-2034.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-lges/playlist.m3u8"
"cnbc_fr_geo_us","US","CNBC (FR) Geo","General","","200","https://amg01079-nbcuuk-amg01079c1-lg-fr-2032.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-lgfr/playlist.m3u8"
"cnbc_it_geo_us","US","CNBC (IT) Geo","General","","200","https://amg01079-nbcuuk-amg01079c1-lg-it-2033.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-lgit/playlist.m3u8"
"cnbc_pt_geo_us","US","CNBC (PT) Geo","General","","200","https://amg01079-nbcuuk-amg01079c1-lg-pt-2035.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-lgpt/playlist.m3u8"
"cnbc_awaaz_in_geo_us","US","CNBC Awaaz (IN) Geo","General","","206","https://amg00866-amg00866c2-lg-in-3525.playouts.now.amagi.tv/playlist.m3u8"
"cnbc_tv_18_in_geo_us","US","CNBC TV 18 (IN) Geo","General","","206","https://amg00866-amg00866c9-lg-in-4409.playouts.now.amagi.tv/playlist.m3u8"
"cnn_us_geo_us","US","CNN (US) Geo","General","","206","https://amg01918-cnnus-amg01918c2-lg-us-5721.playouts.now.amagi.tv/playlist.m3u8"
"cnn_brasil_br_geo_us","US","CNN Brasil (BR) Geo","General","","200","https://amg01391-sbtinfast-amg01391c4-lg-br-4597.playouts.now.amagi.tv/playlist/amg01391-addigital-cnnbrasil-lgbr/playlist.m3u8"
"cnn_envivo_us_geo_us","US","CNN Envivo (US) Geo","General","","206","https://amg01918-cnnus-amg01918c4-lg-us-5720.playouts.now.amagi.tv/playlist.m3u8"
"cnn_fast_at_geo_us","US","CNN FAST (AT) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgat/playlist.m3u8"
"cnn_fast_be_geo_us","US","CNN FAST (BE) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgbe/playlist.m3u8"
"cnn_fast_ch_geo_us","US","CNN FAST (CH) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgch/playlist.m3u8"
"cnn_fast_de_geo_us_2","US","CNN FAST (DE) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgde/playlist.m3u8"
"cnn_fast_de_geo_us","US","CNN Fast (DE) Geo","General","","206","https://amg00803-cnnfast-amg00803c6-lg-de-5356.playouts.now.amagi.tv/playlist.m3u8"
"cnn_fast_dk_geo_us","US","CNN FAST (DK) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgdk/playlist.m3u8"
"cnn_fast_es_us","US","CNN Fast (ES)","General","","206","https://amg00803-cnnfast-amg00803c3-lg-es-5477.playouts.now.amagi.tv/playlist.m3u8"
"cnn_fast_es_geo_us","US","CNN FAST (ES) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lges/playlist.m3u8"
"cnn_fast_fi_geo_us","US","CNN FAST (FI) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgfi/playlist.m3u8"
"cnn_fast_fr_geo_us","US","CNN FAST (FR) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgfr/playlist.m3u8"
"cnn_fast_ie_geo_us","US","CNN FAST (IE) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgie/playlist.m3u8"
"cnn_fast_it_geo_us","US","CNN FAST (IT) Geo","General","","200","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00405-rakutentv-cnnfastlg-rakuten-lgit/playlist.m3u8"
