"id","name","region","group_title","tvg_id","enabled","last_checked_ok","last_status","last_error"
"just_for_laughs_comedy_us","Just for Laughs Comedy","US","General","XUMO_99991176","false","true","200",""
"comedy_dynamics_us","Comedy Dynamics","US","General","XUMO_99951463","false","true","200",""
"just_for_laughs_gags_us","Just for Laughs Gags","US","General","XUMO_99991204","false","true","200",""
"it_s_showtime_at_the_apollo_us","It's Showtime at the Apollo","US","General","XUMO_99991349","false","true","200",""
"portlandia_us","Portlandia","US","General","XUMO_99951301","false","true","200",""
"the_conners_us","The Conners","US","General","XUMO_99951329","false","true","200",""
"witz_comedy_tv_us","WITZ Comedy TV","US","General","XUMO_99951403","false","true","200",""
"hit_sitcoms_us","Hit Sitcoms","US","General","XUMO_99951397","false","true","200",""
"creator_television_us","Creator Television","US","General","XUMO_99951437","false","true","200",""
"bbc_earth_us","BBC Earth","US","Documentary","XUMO_99951231","false","true","200",""
"naturevision_us","NatureVision","US","Documentary","XUMO_99991197","false","true","200",""
"stingray_naturescape_us","Stingray Naturescape","US","Documentary","XUMO_99991252","false","true","200",""
"love_nature_us","Love Nature","US","Documentary","XUMO_99991398","false","true","200",""
"wildearth_us","WildEarth","US","Documentary","XUMO_99991628","false","true","200",""
"love_the_planet_us","Love The Planet","US","Documentary","XUMO_99951328","false","true","200",""
"dog_whisperer_us","Dog Whisperer","US","Documentary","XUMO_99951294","false","true","200",""
"the_pet_collective_us","The Pet Collective","US","Documentary","XUMO_99991174","false","true","200",""
"the_yorkshire_vet_friends_us","The Yorkshire Vet & Friends","US","Documentary","XUMO_99951347","false","true","200",""
"earthxtra_us","EarthXtra","US","Documentary","XUMO_99951378","false","true","200",""
"bark_tv_us","Bark TV","US","Documentary","XUMO_99951409","false","true","200",""
"the_lucky_dog_channel_us","The Lucky Dog Channel","US","Documentary","XUMO_99951444","false","true","200",""
"the_jack_hanna_channel_us","The Jack Hanna Channel","US","Documentary","XUMO_99951491","false","true","200",""
"the_virginian_us","The Virginian","US","General","XUMO_99951525","false","true","200",""
"mcleod_s_daughters_us","McLeod's Daughters","US","General","XUMO_99951138","false","true","200",""
"30a_georgia_hollywood_review_tv_720p_us","30A Georgia Hollywood Review TV (720p)","US","Entertainment;News","30AGeorgiaHollywoodReview.us@SD","false","true","206",""
"30a_sidewalks_720p_us","30A Sidewalks (720p)","US","Entertainment","30ASidewalks.us@SD","false","true","206",""
"30a_television_channel_720p_us","30A Television Channel (720p)","US","Entertainment","30ATelevisionChannel.us@SD","false","true","206",""
"a_e_latin_america_south_480p_us","A&E Latin America South (480p)","US","Entertainment","AELatinAmerica.us@South","false","true","206",""
"afrolandtv_1080p_us","AfroLandTV (1080p)","US","Entertainment","AfroLandTV.us@SD","false","true","206",""
"allblk_gems_720p_us","ALLBLK Gems (720p)","US","Entertainment","ALLBLKGems.us@SD","false","true","206",""
"asiancrush_1080p_us","AsianCrush (1080p)","US","Entertainment","AsianCrush.us@SD","false","true","206",""
"bet_classics_us","BET Classics","US","Entertainment","BETClassicsPlutoTV.us@France","false","true","200",""
"bet_pluto_tv_us","BET Pluto TV","US","Entertainment","BETPlutoTV.us@Brazil","false","true","200",""
"bet_pluto_tv_us_2","BET Pluto TV","US","Entertainment","BETPlutoTV.us@UK","false","true","200",""
"bet_pluto_tv_us_3","BET Pluto TV","US","Entertainment","BETPlutoTV.us@US","false","true","200",""
"bounce_xl_1080p_us","Bounce XL (1080p)","US","Entertainment","BounceXL.us@SD","false","true","200",""
"buzzr_1080p_us","Buzzr (1080p)","US","Entertainment","Buzzr.us@SD","false","true","206",""
"canela_tv_1080p_us","Canela.TV (1080p)","US","Entertainment","CanelaTV.us@SD","false","true","206",""
"circle_1080p_us","Circle (1080p)","US","Entertainment","Circle.us@SD","false","true","206",""
"dr_phil_s_merittv_1080p_us","Dr Phil's MeritTV (1080p)","US","Entertainment","MeritStreet.us@SD","false","true","206",""
"e_keeping_up_1080p_us","E! Keeping Up (1080p)","US","Entertainment","EKeepingUp.us@SD","false","true","206",""
"e_latin_america_720p_us","E! Latin America (720p)","US","Entertainment;News","ELatinAmerica.us@South","false","true","206",""
"electric_now_1080p_us","Electric Now (1080p)","US","Entertainment","ElectricNow.us@SD","false","true","206",""
"entertainment_tonight_1080p_us","Entertainment Tonight (1080p)","US","Entertainment;News","EntertainmentTonight.us@SD","false","true","206",""
"estrella_games_1080p_us","Estrella Games (1080p)","US","Entertainment;Family","EstrellaGames.us@SD","false","true","206",""
"estrella_tv_1080p_us","Estrella TV (1080p)","US","Entertainment","EstrellaTV.us@SD","false","true","206",""
"fidele_tv_480p_us","Fidele TV (480p)","US","Entertainment","FideleTV.us@SD","false","true","206",""
"fx_latin_america_south_720p_us","FX Latin America South (720p)","US","Entertainment","FXLatinAmerica.us@South","false","true","206",""
"game_show_network_east_720p_not_24_7_us","Game Show Network East (720p) [Not 24/7]","US","Entertainment","GameShowNetwork.us@East","false","true","200",""
"geordie_shore_us","Geordie Shore","US","Entertainment","GeordieShore.us@Italy","false","true","200",""
"globalworldtv_720p_us","GlobalWorldTV (720p)","US","Entertainment","GlobalWorldTV.us@SD","false","true","206",""
"grit_xtra_1080p_us","Grit Xtra (1080p)","US","Entertainment","GritXtra.us@SD","false","true","200",""
"heartland_us_2","Heartland","US","Entertainment","Heartland.us@Web","false","true","200",""
"hi_yah_1080p_us","Hi-YAH! (1080p)","US","Entertainment","HiYAH.us@SD","false","true","200",""
"hollywire_720p_us","HollyWire (720p)","US","Entertainment;News","HollyWire.us@SD","false","true","200",""
"impact_network_720p_us","Impact Network (720p)","US","Entertainment","ImpactNetwork.us@SD","false","true","206",""
"ion_plus_1080p_us","ION Plus (1080p)","US","Entertainment","IONPlus.us@East","false","true","200",""
"k_content_by_cj_enm_1080p_us","K Content by CJ ENM (1080p)","US","Entertainment","KContentbyCJENM.us@SD","false","true","206",""
"kftr_dt1_geo_blocked_us","KFTR-DT1 [Geo-blocked]","US","Entertainment","KFTRDT461.us@HD","false","true","206",""
"kmct_dt1_720p_us","KMCT-DT1 (720p)","US","Entertainment","KMCTTV391.us@HD","false","true","206",""
"kvvb_tv_33_victor_valley_1080p_not_24_7_us","KVVB-TV 33 Victor Valley (1080p) [Not 24/7]","US","Entertainment","KVVBLD331.us@SD","false","true","206",""
"lifetime_latin_america_720p_us","Lifetime Latin America (720p)","US","Entertainment","LifetimeLatinAmerica.us@Panregional","false","false","","The operation timed out."
"logo_pluto_tv_us","Logo Pluto TV","US","Entertainment","LogoPlutoTV.us@SD","false","true","200",""
"lone_star_720p_us","Lone Star (720p)","US","Entertainment","LoneStar.us@Poland","false","true","206",""
"lone_star_1080p_us","Lone Star (1080p)","US","Entertainment","LoneStar.us@SD","false","true","206",""
"lone_star_1080p_us_2","Lone Star (1080p)","US","Entertainment","LoneStar.us@US","false","true","200",""
"mbc_america_1080p_us","MBC America (1080p)","US","Culture;Entertainment;Music","MBCAmerica.us@SD","false","true","200",""
"midnight_pulp_1080p_us","Midnight Pulp (1080p)","US","Entertainment","MidnightPulp.us@SD","false","true","206",""
"more_tv_drama_us","More TV Drama","US","Entertainment","MoreTVDrama.us@SD","false","true","200",""
"mtv_en_espa_ol_us","MTV en español","US","Entertainment","MTVenEspanol.us@SD","false","true","200",""
"mtv_latin_america_us","MTV Latin America","US","Entertainment","MTVLatinAmerica.us@Panregional","false","true","206",""
"mtv_pluto_tv_us","MTV Pluto TV","US","Entertainment","MTVPlutoTV.us@Germany","false","false","500","Non-success status"
"mtv_ridiculousness_us","MTV Ridiculousness","US","Entertainment","MTVRidiculousness.us@Germany","false","true","200",""
"mystery_tv_1080p_us","Mystery TV (1080p)","US","Entertainment","MysteryTV.us@UK","false","true","206",""
"mytv_san_antonio_tx_kcwx_tv_720p_not_24_7_us","myTV San Antonio TX (KCWX-TV) (720p) [Not 24/7]","US","Entertainment","KCWX351.us@HD","false","true","206",""
"nbc_universo_west_720p_us","NBC Universo West (720p)","US","Entertainment","NBCUniverso.us@West","false","true","206",""
"olelo_community_media_channel_55_720p_us","Olelo Community Media Channel 55 (720p)","US","Entertainment","Olelo55.us@SD","false","true","206",""
"omide_iran_us","Omide Iran","US","Entertainment","OmideIranTV.us@SD","false","true","206",""
"paranormal_state_us","Paranormal State","US","Entertainment","ParanormalState.us@UK","false","true","200",""
"people_are_awesome_720p_us","People Are Awesome (720p)","US","Entertainment","PeopleAreAwesome.us@Poland","false","true","206",""
"people_are_awesome_720p_us_2","People Are Awesome (720p)","US","Entertainment","PeopleAreAwesome.us@SD","false","true","206",""
"pluto_tv_animation_us","Pluto TV Animation","US","Entertainment","PlutoTVAnimation.us@UK","false","true","200",""
"pluto_tv_conspiracy_us","Pluto TV Conspiracy","US","Entertainment","PlutoTVConspiracy.us@UK","false","true","200",""
